Country Name,Country Code,Indicator Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"International tourism, expenditures (current US$)",79000000,128000000,161000000,140000000,151000000,163000000,156000000,172000000,213000000,248000000,250000000,241000000,270000000,272000000,264000000,261000000,287000000,294000000,342000000,351000000,359000000,332000000,362000000,358000000
Afghanistan,AFG,"International tourism, expenditures (current US$)",,,,,,,,,,,,,,28000000,70000000,106000000,255000000,110000000,138000000,140000000,151000000,89000000,130000000,226000000
Angola,AGO,"International tourism, expenditures (current US$)",113000000,110000000,125000000,96000000,142000000,146000000,80000000,52000000,49000000,86000000,135000000,393000000,473000000,447000000,270000000,275000000,323000000,288000000,316000000,505000000,389000000,823000000,1216000000,762000000
Albania,ALB,"International tourism, expenditures (current US$)",19000000,25000000,13000000,22000000,35000000,290000000,269000000,386000000,507000000,669000000,808000000,989000000,1331000000,1644000000,1692000000,1452000000,1677000000,1374000000,1567000000,1689000000,1311000000,1338000000,1473000000,1750000000
Andorra,AND,"International tourism, expenditures (current US$)",,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"International tourism, expenditures (current US$)",,,,,,,,23222760616,21794219042,24155718640,33469992554,43980882990,58354235638,58860278756,60110447816,65421974653,69398949596,76367594532,82441703811,92674938749,94058239130,91176828190,95771662433,95604213053
United Arab Emirates,ARE,"International tourism, expenditures (current US$)",,,,,,3019000000,3321000000,3651000000,3956000000,4472000000,6186000000,8827000000,11273000000,13288000000,10347000000,11818000000,13206000000,15072000000,16188000000,15848000000,16637000000,17127000000,17645000000,17999000000
Argentina,ARG,"International tourism, expenditures (current US$)",4013000000,4449000000,4973000000,5282000000,5228000000,5460000000,4888000000,2744000000,2997000000,3208000000,3554000000,4047000000,5077000000,5987000000,5808000000,6448000000,7602000000,8466000000,8421000000,7837000000,9348000000,12273000000,14175000000,13092000000
Armenia,ARM,"International tourism, expenditures (current US$)",12000000,26000000,45000000,55000000,51000000,56000000,59000000,85000000,97000000,199000000,255000000,300000000,430000000,494000000,496000000,641000000,756000000,874000000,1007000000,1101000000,1057000000,1119000000,1325000000,1458000000
American Samoa,ASM,"International tourism, expenditures (current US$)",,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"International tourism, expenditures (current US$)",23000000,26000000,27000000,29000000,30000000,31000000,32000000,33000000,35000000,38000000,40000000,45000000,52000000,58000000,54000000,51000000,49000000,49000000,50000000,89000000,95000000,101000000,106000000,113000000
